"","LIB","Sample","PInumber","ISnum","WASAP","PlantName","Population","DuplicateLIBdecision","FilterMissing","Proportion.Missing","Proportion.Heterozygous","InbreedCoefficent","Kmeans_cluster","Germplasm","BotanicalType","CountryOrigin","Region","lat","lon","Elevation","Latitude"
"1","IFDN","PI300118","PI300118",NA,NA,"294","BAP",NA,NA,0.1777857025,0.03737287959,1.75681,12,NA,NA,"South Africa",NA,-30.559483,22.937506,564,-30.559483
"2","IFDP","PI300119","PI300119",NA,NA,"329","BAP",NA,NA,0.1772434596,0.03931769967,1.780794,12,"Wild",NA,"South Africa",NA,-30.559483,22.937506,396,-30.559483
"3","INML","PI365512_1130","PI365512",NA,NA,"1130","BAP",NA,NA,0.07418099585,0.01111981396,1.125594,8,NA,"Caudatum","KwaZulu-Natal,South Africa",NA,-30.559483,22.937506,400,-30.559483
"4","IFGX","PI533752","PI533752",NA,NA,"54.K.94(Witchweed res.)","BAP","keep",NA,0.0956848646,0.0167960604,1.173015,9,"Breeding",NA,"Ethiopia",NA,-30.559483,22.937506,NA,-30.559483
"5","IZKU","AGG324572SORG","AGG324572SORG","IS29496",NA,NA,"Gates",NA,NA,0.08221153826,0.01453391018,1.166218,16,"Landrace",NA,"Lesotho",NA,-30.260001,27.879999,2180,NA
"6","INTL","7805_AGG324588SORG","AGG324588SORG","IS29472",NA,NA,"Gates",NA,NA,0.07862123757,0.01418967157,1.174087,16,"Landrace",NA,"Lesotho",NA,-30.020242,27.549999,1600,NA
"7","INTM","7806_AGG324589SORG","AGG324589SORG","IS29409",NA,NA,"Gates",NA,NA,0.07238563752,0.01288735647,1.158228,16,"Landrace",NA,"Lesotho",NA,-29.530006,28.149999,2150,NA
"8","INTN","7807_AGG324590SORG","AGG324590SORG","IS29407",NA,NA,"Gates",NA,NA,0.1898179282,0.007479778626,0.964223,16,"Landrace",NA,"Lesotho",NA,-29.530006,28.149999,2150,NA
"9","INTP","7808_AGG324591SORG","AGG324591SORG","IS29375",NA,NA,"Gates",NA,NA,0.07967480396,0.01374322024,1.15967,16,"Landrace",NA,"Lesotho",NA,-29.510002,27.620001,1520,NA
"10","INTH","7801_AGG324582SORG","AGG324582SORG","IS29569",NA,NA,"Gates",NA,NA,0.07151747752,0.01243364033,1.166843,16,"Landrace",NA,"Lesotho",NA,-29.319999,27.479999,1673,NA
"11","INWZ","PI308223","PI308223","IS13791",NA,"IS13791","Gates",NA,NA,0.08506961405,0.01464368759,1.179353,16,"Landrace",NA,"South Africa,KwaZulu-Natal",NA,-29.015021,29.871031,NA,-29.015021
